species,longitude,latitude
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.25,4.56
Phrynobatrachus auritus,10.24,4.56
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.25,4.56
Phrynobatrachus auritus,10.25,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.25,4.58
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.24,4.57
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.61,-3.2
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.5,-3.09
Phrynobatrachus auritus,10.47,-3.09
Phrynobatrachus auritus,10.48,-3.1
Phrynobatrachus auritus,10.48,-3.09
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.85,-1.85
Phrynobatrachus auritus,13.97,-2
Phrynobatrachus auritus,13.96,-1.99
Phrynobatrachus auritus,13.97,-2.01
Phrynobatrachus auritus,13.96,-2.02
Phrynobatrachus auritus,13.94,-2.01
Phrynobatrachus auritus,13.94,-2.01
Phrynobatrachus auritus,13.96,-1.99
Phrynobatrachus auritus,13.96,-2.03
Phrynobatrachus auritus,13.95,-2.03
Phrynobatrachus auritus,13.94,-2.04
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.91,-0.58
Phrynobatrachus auritus,11.9,-0.6
Phrynobatrachus auritus,11.86,-0.55
Phrynobatrachus auritus,11.91,-0.62
Phrynobatrachus auritus,11.9,-0.61
Phrynobatrachus auritus,11.9,-0.6
Phrynobatrachus auritus,11.9,-0.59
Phrynobatrachus auritus,11.91,-0.58
Phrynobatrachus auritus,11.9,-0.57
Phrynobatrachus auritus,11.89,-0.56
Phrynobatrachus auritus,11.9,-0.6
Phrynobatrachus auritus,11.91,-0.59
Phrynobatrachus auritus,11.87,-0.56
Phrynobatrachus auritus,10.7,0.87
Phrynobatrachus auritus,10.71,0.87
Phrynobatrachus auritus,10.68,1.08
Phrynobatrachus auritus,10.67,1.07
Phrynobatrachus auritus,10.67,1.07
Phrynobatrachus auritus,10.68,1.08
Phrynobatrachus auritus,10.7,1.08
Phrynobatrachus auritus,10.7,1.09
Phrynobatrachus auritus,10.7,1.08
Phrynobatrachus auritus,10.68,1.05
Phrynobatrachus auritus,10.68,1.05
Phrynobatrachus auritus,10.69,1.04
Phrynobatrachus auritus,10.69,1.04
Phrynobatrachus auritus,10.69,1.04
